,Real Kd value,Predicted Kd value,Absolute error,Relative error,Relative error,Mean absolute error,Mean relative error
1118,0.692562778,0.7,0.007437222,1.073869714,1.073869714,,
1119,0.635317043,0.63,0.005317043,0.836911685,0.836911685,,
1120,0.586106905,0.6,0.013893095,2.370402878,2.370402878,,
1121,0.808137216,0.78,0.028137216,3.481737417,3.481737417,,
1122,0,0,0,#¡DIV/0!,0,,
1123,0,0,0,#¡DIV/0!,0,,
1124,0,0,0,#¡DIV/0!,0,,
1125,0,0,0,#¡DIV/0!,0,,
1126,0,0,0,#¡DIV/0!,0,,
1127,0,0,0,#¡DIV/0!,0,,
1128,0,0,0,#¡DIV/0!,0,,
1129,0,0,0,#¡DIV/0!,0,,
1130,0,0,0,#¡DIV/0!,0,,
1131,0,0,0,#¡DIV/0!,0,,
